TEAM,predicted_seed_with_update
Auburn,1.0
Alabama,1.0
Oregon,1.0
Marquette   (H) 40 Wisconsin (won),1.0
Duke,2.0
Kansas,2.0
Purdue,2.0
Memphis,2.0
Iowa St.,3.0
Gonzaga   vs. 9 Kentucky,3.0
Kentucky   vs. 5 Gonzaga,3.0
Tennessee,3.0
Clemson   (A) 88 Miami FL (won),4.0
Pittsburgh   (A) 126 Virginia Tech (won),4.0
Florida,4.0
Mississippi St.,4.0
Michigan St.   (H) 49 Nebraska (won),5.0
Houston   (H) 71 Butler (won),5.0
Wisconsin   (A) 11 Marquette (lost),5.0
Michigan   (H) 43 Iowa (won),5.0
St. John's   (H) 54 Kansas St. (won),6.0
North Carolina   (H) 104 Georgia Tech (won),6.0
Mississippi   (H) 338 Lindenwood (won),6.0
Indiana,6.0
Oklahoma   (H) 350 Alcorn St. (won),7.0
Texas Tech,7.0
Texas A&M,7.0
Texas,7.0
UCLA,8.0
Arizona St.,8.0
Baylor,8.0
Saint Mary's   (A) 68 Utah (won),8.0
Maryland,9.0
Penn St.,9.0
Illinois,9.0
Iowa   (A) 22 Michigan (lost),9.0
Nebraska   (A) 19 Michigan St. (lost),10.0
Washington St.   vs. 60 Boise St. (won),10.0
Cincinnati,10.0
Vanderbilt,10.0
Ohio St.   (H) 56 Rutgers (won),11.0
West Virginia,11.0
UC Irvine,11.0
Georgia,11.0
San Diego St.   (H) 311 San Diego,11.0
Louisville,11.0
New Mexico   (H) 176 New Mexico St. (lost),12.0
Dayton   (H) 260 Lehigh (won),12.0
Creighton   (H) 102 UNLV (won),12.0
Northwestern,12.0
Utah St.   (H) 315 Utah Tech (won),13.0
Wichita St.   (H) 160 East Tennessee St.,13.0
Arkansas   (H) 241 UTSA (won),13.0
Arizona   (H) 216 Southern Utah (won),13.0
Rutgers   (A) 33 Ohio St. (lost),14.0
LSU,14.0
UCF,14.0
Virginia   (A) 50 SMU (lost),14.0
BYU,15.0
VCU,15.0
Bradley,15.0
Liberty   (H) 364 Mississippi Valley St.,15.0
Wake Forest   (H) 151 Boston College (won),16.0
Villanova   vs. 137 Temple (won),16.0
Connecticut,16.0
San Francisco,16.0
North Texas,16.0
Nevada   (A) 168 Loyola Marymount (lost),16.0
