,TEAM,predicted_seed_with_update
2,Tennessee,1.0
3,Auburn,1.0
7,Kansas,1.0
6,Alabama,1.0
0,Duke,2.0
27,Oregon,2.0
13,Marquette,2.0
11,Purdue   (A) 46 Penn St.,2.0
5,Iowa St.,3.0
37,Memphis,3.0
8,Kentucky,3.0
4,Gonzaga,3.0
10,Florida,4.0
12,Mississippi St.,4.0
18,Texas A&M,4.0
1,Houston,4.0
24,North Carolina,5.0
31,Pittsburgh,5.0
21,Michigan,5.0
15,St. John's,5.0
57,Arizona St.,6.0
38,Wisconsin,6.0
29,Michigan St.,6.0
26,Mississippi,6.0
22,Baylor,7.0
9,Illinois,7.0
39,Indiana,7.0
32,Clemson,7.0
55,San Diego St.,8.0
49,Oklahoma,8.0
28,Georgia,8.0
30,Creighton,8.0
20,Texas,9.0
14,UCLA,9.0
36,Saint Mary's,9.0
16,Texas Tech,9.0
40,Nebraska,10.0
50,New Mexico,10.0
43,Iowa,10.0
19,Cincinnati,10.0
59,Utah St.,11.0
67,UC Irvine   (H) 257 Cal St. Bakersfield,11.0
41,Nevada,11.0
23,Arizona,11.0
52,West Virginia,11.0
17,Maryland,11.0
68,LSU,12.0
64,Butler,12.0
42,Arkansas,12.0
53,Louisville,12.0
33,VCU,13.0
34,Ohio St.,13.0
61,Vanderbilt,13.0
71,Washington St.,13.0
46,Dayton,14.0
44,Rutgers,14.0
65,North Texas,14.0
72,Bradley,14.0
78,Liberty,15.0
81,Wake Forest,15.0
84,Virginia,15.0
94,Wichita St.,15.0
47,Boise St.,16.0
45,Penn St.   (H) 12 Purdue,16.0
35,BYU,16.0
85,Washington,16.0
82,UCF,16.0
51,Northwestern,16.0
